Time,Sensor1,Sensor2,Sensor3,Sensor4,Force_Sum,Gripper_Position
0.131541013718,-1.3200000524520874,-1.9299999475479126,-21.799999237060547,-1.9299999475479126,-26.97999918460846,0.873365104198
0.131588935852,-1.3200000524520874,-1.9299999475479126,-21.799999237060547,-1.9299999475479126,-26.97999918460846,0.873365104198
0.231273889542,-1.3300000429153442,-3.369999885559082,-22.06999969482422,-1.0499999523162842,-27.81999957561493,0.873365104198
0.332235813141,1.0199999809265137,-1.940000057220459,-22.31999969482422,-2.2100000381469727,-25.449999809265137,0.873365104198
0.431931018829,-0.9800000190734863,-1.8799999952316284,-21.989999771118164,-1.809999942779541,-26.65999972820282,0.873365104198
0.531553983688,-1.2999999523162842,-3.2200000286102295,-22.420000076293945,-1.940000057220459,-28.880000114440918,0.873365104198
0.632054805756,-2.7799999713897705,-2.7899999618530273,-23.040000915527344,-2.5299999713897705,-31.140000820159912,0.873365104198
0.73189997673,-2.8499999046325684,-2.9800000190734863,-22.149999618530273,-1.8799999952316284,-29.859999537467957,0.873365104198
0.832578897476,-2.059999942779541,-3.5999999046325684,-22.34000015258789,-2.299999952316284,-30.299999952316284,0.873365104198
0.932313919067,-1.649999976158142,-2.880000114440918,-22.239999771118164,-1.590000033378601,-28.359999895095825,0.873365104198
1.03246283531,-2.4600000381469727,-3.0,-22.860000610351562,-1.2899999618530273,-29.610000610351562,0.873365104198
1.13296580315,-2.0899999141693115,-3.609999895095825,-22.350000381469727,-2.4100000858306885,-30.46000027656555,0.873365104198
1.23248291016,-1.9800000190734863,-2.200000047683716,-21.68000030517578,-1.2100000381469727,-27.070000410079956,0.873365104198
1.33275198936,-2.2699999809265137,-3.2899999618530273,-22.8799991607666,-2.109999895095825,-30.549998998641968,0.873365104198
1.43363595009,0.699999988079071,-3.119999885559082,-22.350000381469727,-2.190000057220459,-26.960000336170197,0.873365104198
1.53316998482,-1.940000057220459,-2.559999942779541,-22.1299991607666,-0.949999988079071,-27.579999148845673,0.873365104198
1.63353800774,-1.7200000286102295,-3.369999885559082,-22.190000534057617,-1.9299999475479126,-29.21000039577484,0.873365104198
1.73300695419,-0.7900000214576721,-2.0999999046325684,-21.959999084472656,-1.5099999904632568,-26.359999001026154,0.873365104198
1.83359980583,-3.200000047683716,-3.190000057220459,-22.299999237060547,-1.6799999475479126,-30.369999289512634,0.873365104198
1.93419790268,-2.009999990463257,-3.890000104904175,-22.229999542236328,-2.240000009536743,-30.369999647140503,0.873365104198
2.03375482559,-3.009999990463257,-2.859999895095825,-22.6200008392334,-1.9800000190734863,-30.470000743865967,0.873365104198
2.13444685936,-1.899999976158142,-3.009999990463257,-22.260000228881836,-2.430000066757202,-29.600000262260437,0.873365104198
2.2340400219,-2.109999895095825,-4.010000228881836,-22.219999313354492,-1.2300000190734863,-29.56999945640564,0.873365104198
2.33447599411,-1.2599999904632568,-3.740000009536743,-23.0,-1.6200000047683716,-29.62000000476837,0.873365104198
2.43416690826,-1.7300000190734863,-2.7899999618530273,-22.280000686645508,-2.2300000190734863,-29.030000686645508,0.873365104198
