Time,Sensor1,Sensor2,Sensor3,Sensor4,Force_Sum,Gripper_Position
0.131731987,56.189998626708984,3.9600000381469727,-3.450000047683716,-6.960000038146973,49.73999857902527,4.38596582413
0.131807804108,56.189998626708984,3.9600000381469727,-3.450000047683716,-6.960000038146973,49.73999857902527,4.38596582413
0.231192827225,54.709999084472656,3.4700000286102295,-2.700000047683716,-5.869999885559082,49.60999917984009,3.07017636299
0.331376791,28.8799991607666,5.289999961853027,-3.869999885559082,-6.230000019073486,24.06999921798706,2.1929833889
0.43178486824,18.739999771118164,5.320000171661377,-2.700000047683716,-5.369999885559082,15.990000009536743,2.1929833889
0.532066822052,16.56999969482422,5.320000171661377,-2.690000057220459,-6.260000228881836,12.9399995803833,2.1929833889
0.631459951401,14.359999656677246,5.320000171661377,-3.0899999141693115,-5.5,11.089999914169312,3.50877285004
0.73150396347,14.270000457763672,5.320000171661377,-2.7300000190734863,-5.360000133514404,11.500000476837158,3.50877285004
0.831389904022,13.880000114440918,5.800000190734863,-2.9200000762939453,-6.840000152587891,9.920000076293945,3.50877285004
0.931900978088,14.119999885559082,6.050000190734863,-2.7899999618530273,-5.010000228881836,12.369999885559082,3.50877285004
1.03240799904,15.5600004196167,6.269999980926514,-1.9199999570846558,-6.090000152587891,13.820000290870667,3.50877285004
1.13201498985,16.510000228881836,6.610000133514404,-2.259999990463257,-5.690000057220459,15.170000314712524,3.50877285004
1.23221588135,16.059999465942383,7.190000057220459,-3.009999990463257,-4.639999866485596,15.59999966621399,3.50877285004
1.33220481873,16.760000228881836,6.519999980926514,-2.509999990463257,-5.849999904632568,14.920000314712524,3.94736933708
1.43224096298,16.75,7.090000152587891,-2.640000104904175,-4.849999904632568,16.350000143051147,4.82456207275
1.53248500824,16.360000610351562,5.710000038146973,-2.6700000762939453,-5.829999923706055,13.570000648498535,4.82456207275
1.63242483139,16.030000686645508,6.159999847412109,-2.049999952316284,-4.809999942779541,15.330000638961792,4.82456207275
1.73246693611,15.970000267028809,6.579999923706055,-2.8299999237060547,-5.28000020980835,14.440000057220459,4.82456207275
1.83262681961,16.200000762939453,6.139999866485596,-1.5299999713897705,-5.789999961853027,15.020000696182251,4.82456207275
1.93309593201,15.699999809265137,6.769999980926514,-1.5099999904632568,-4.360000133514404,16.59999966621399,4.82456207275
2.03256297112,16.34000015258789,6.25,-2.059999942779541,-6.099999904632568,14.430000305175781,4.82456207275
2.132573843,15.880000114440918,6.650000095367432,-1.600000023841858,-5.139999866485596,15.790000319480896,4.82456207275
2.23271584511,15.789999961853027,5.849999904632568,-1.2599999904632568,-5.880000114440918,14.499999761581421,4.82456207275
2.3328537941,16.15999984741211,6.880000114440918,-1.9900000095367432,-4.840000152587891,16.209999799728394,4.82456207275
2.43370389938,16.239999771118164,6.449999809265137,-1.9900000095367432,-5.429999828338623,15.269999742507935,4.82456207275
2.53367590904,15.699999809265137,7.059999942779541,-3.049999952316284,-5.210000038146973,14.499999761581421,4.82456207275
2.633715868,15.359999656677246,5.849999904632568,-3.4000000953674316,-5.369999885559082,12.4399995803833,6.14035177231
2.7340388298,16.450000762939453,5.829999923706055,-3.619999885559082,-5.519999980926514,13.140000820159912,6.14035177231
2.83436584473,16.200000762939453,6.289999961853027,-4.309999942779541,-5.400000095367432,12.780000686645508,6.14035177231
2.93398499489,16.25,5.539999961853027,-3.4200000762939453,-4.489999771118164,13.880000114440918,6.14035177231
3.03399896622,16.25,5.380000114440918,-3.619999885559082,-5.610000133514404,12.400000095367432,6.14035177231
3.1342189312,15.850000381469727,5.340000152587891,-3.9100000858306885,-5.159999847412109,12.12000060081482,6.57894802094
3.23431587219,45.689998626708984,1.7200000286102295,-3.7300000190734863,-6.809999942779541,36.86999869346619,12.2807025909
3.33428096771,54.15999984741211,-0.5899999737739563,-4.480000019073486,-6.0,43.08999985456467,14.9122810364
3.43439102173,56.43000030517578,1.8600000143051147,-3.2100000381469727,-6.860000133514404,48.22000014781952,17.9824562073
3.53487300873,58.040000915527344,3.309999942779541,-4.170000076293945,-5.480000019073486,51.70000076293945,17.9824562073
3.63485693932,58.209999084472656,4.119999885559082,-4.179999828338623,-6.639999866485596,51.50999927520752,17.9824562073
3.73494696617,58.58000183105469,3.9000000953674316,-2.759999990463257,-6.309999942779541,53.41000199317932,19.2982463837
3.83502984047,40.61000061035156,5.590000152587891,-4.119999885559082,-4.429999828338623,37.65000104904175,23.684211731
3.93492388725,22.15999984741211,5.389999866485596,-3.6600000858306885,-6.059999942779541,17.829999685287476,27.1929836273
4.03535199165,17.420000076293945,5.340000152587891,-4.059999942779541,-6.309999942779541,12.390000343322754,31.1403522491
4.13472390175,16.65999984741211,5.579999923706055,-3.359999895095825,-5.170000076293945,13.709999799728394,34.6491241455
4.23483991623,13.0600004196167,4.940000057220459,-3.309999942779541,-5.099999904632568,9.590000629425049,35.5263175964
4.33485984802,12.84000015258789,4.5,-4.269999980926514,-4.699999809265137,8.37000036239624,35.5263175964
4.43574786186,12.470000267028809,3.75,-3.6500000953674316,-6.059999942779541,6.510000228881836,35.5263175964
4.53595685959,11.989999771118164,3.7100000381469727,-3.9100000858306885,-5.559999942779541,6.229999780654907,35.5263175964
4.63608193398,12.34000015258789,3.6500000953674316,-3.3299999237060547,-5.730000019073486,6.930000305175781,37.7192993164
4.73611593246,16.899999618530273,5.980000019073486,-1.5800000429153442,-6.340000152587891,14.959999442100525,40.3508758545
4.8364109993,23.040000915527344,8.09000015258789,-0.25999999046325684,-4.519999980926514,26.350001096725464,42.1052627563
