1.65962391106e+12,179.0,90.0,265.0,64.0,162.0,31.0,791.0
1.65962391116e+12,179.0,90.0,257.0,62.0,162.0,30.0,780.0
1.65962391126e+12,178.0,90.0,263.0,63.0,162.0,30.0,786.0
1.65962391136e+12,178.0,90.0,257.0,61.0,162.0,31.0,779.0
1.65962391146e+12,179.0,90.0,255.0,61.0,162.0,30.0,777.0
1.65962391156e+12,180.0,91.0,276.0,68.0,162.0,30.0,807.0
1.65962391166e+12,180.0,90.0,282.0,63.0,162.0,30.0,807.0
1.65962391176e+12,181.0,91.0,265.0,64.0,163.0,29.0,793.0
1.65962391186e+12,180.0,91.0,262.0,63.0,162.0,30.0,788.0
1.65962391196e+12,180.0,90.0,265.0,62.0,163.0,30.0,790.0
1.65962391206e+12,181.0,91.0,271.0,64.0,163.0,29.0,799.0
1.65962391216e+12,182.0,91.0,259.0,62.0,164.0,29.0,787.0
1.65962391226e+12,181.0,91.0,283.0,70.0,163.0,30.0,818.0
1.65962391236e+12,181.0,91.0,285.0,70.0,163.0,29.0,819.0
1.65962391246e+12,181.0,91.0,265.0,64.0,163.0,29.0,793.0
1.65962391256e+12,182.0,91.0,291.0,63.0,163.0,30.0,820.0
1.65962391266e+12,181.0,91.0,276.0,67.0,164.0,30.0,809.0
1.65962391276e+12,182.0,91.0,280.0,68.0,162.0,28.0,811.0
1.65962391286e+12,181.0,92.0,298.0,73.0,163.0,28.0,835.0
1.65962391296e+12,180.0,90.0,283.0,69.0,162.0,29.0,813.0
1.65962391306e+12,183.0,91.0,276.0,66.0,163.0,29.0,808.0
1.65962391316e+12,181.0,91.0,272.0,65.0,162.0,28.0,799.0
1.65962391326e+12,182.0,92.0,274.0,66.0,162.0,28.0,804.0
1.65962391336e+12,183.0,91.0,271.0,64.0,161.0,31.0,801.0
1.65962391346e+12,182.0,92.0,278.0,67.0,162.0,32.0,813.0
1.65962391356e+12,183.0,91.0,279.0,67.0,162.0,33.0,815.0
1.65962391366e+12,181.0,90.0,270.0,65.0,161.0,28.0,795.0
1.65962391376e+12,181.0,90.0,271.0,65.0,161.0,28.0,796.0
1.65962391386e+12,180.0,91.0,268.0,64.0,160.0,29.0,792.0
1.65962391396e+12,181.0,90.0,266.0,64.0,161.0,31.0,793.0
1.65962391406e+12,179.0,90.0,282.0,68.0,161.0,29.0,809.0
1.65962391416e+12,180.0,92.0,274.0,67.0,160.0,30.0,803.0
1.65962391426e+12,180.0,91.0,280.0,68.0,161.0,30.0,810.0
1.65962391436e+12,180.0,92.0,282.0,68.0,160.0,29.0,811.0
